omschrijving,art_nr
"18.07D_G Wandstelling 2400mm, voet 660mm, Grijs J/F/B Beginmeter",450124
"18.07D_G Wandstelling 2400mm, voet 660mm, Grijs J/F/B Tussenmeter",450126
"18.07D_G Wandstelling 2400mm, voet 660mm, Grijs J/F/B Eindmeter",450127
18.07D_Z Wandstelling 2400 mm hoogt voet 660 mm,453339
18.10D-ZV Wandstelling achterlader zuivel,432591
"18.12B_G Gondola 1500, voet 460mm, Grijs J/F/B Beginmeter",273451
"18.12B_G Gondola 1500, voet 460mm, Grijs J/F/B Tussenmeter",273452
"18.12B_G Gondola 1500, voet 460mm, Grijs J/F/B Eindmeter",273453
"18.12C_G Gondola 1500, voet 560mm, Grijs J/F/B Beginmeter",317774
"18.12C_G Gondola 1500, voet 560mm, Grijs J/F/B Tussenmeter",317776
"18.12C_G Gondola 1500, voet 560mm, Grijs J/F/B Eindmeter",317777
"18.12D_G Gondola 1500, voet 660mm, Grijs J/F/B Beginmeter",245031
"18.12D_G Gondola 1500, voet 660mm, Grijs J/F/B Tussenmeter",245032
"18.12D_G Gondola 1500, voet 660mm, Grijs J/F/B Eindmeter",245033
"18.13B_G gondola, 1900mm hg, voet 460 mm, grijs J/F/B Beginmeter",248240
"18.13B_G gondola, 1900mm hg, voet 460 mm J/F/B Tussenmeter",248242
"18.13B_G gondola, 1900mm hg, voet 460 mm J/F/B Eindmeter",248243
"18.13C_G gondola, 1900mm hg, voet 560 mm, grijs J/F/B Beginmeter",245034
"18.13C_G gondola, 1900mm hg, voet 560 mm J/F/B Tussenmeter",245035
"18.13C_G gondola, 1900mm hg, voet 560 mm J/F/B Eindmeter",245036
"18.13D_G gondola, 1900mm hg, voet 660 mm, grijs J/F/B Beginmeter",243522
"18.13D_G gondola, 1900mm hg, voet 660 mm J/F/B Tussenmeter",243523
"18.13D_G gondola, 1900mm hg, voet 660 mm J/F/B Eindmeter",243524
"18.15B_G Gondola 2200, voet 460mm, Grijs J/F/B Beginmeter",406756
"18.15B_G Gondola 2200, voet 460mm, Grijs J/F/B Tussenmeter",406757
"18.15B_G Gondola 2200, voet 460mm, Grijs J/F/B Eindmeter",406758
"18.15C_G Gondola 2200, voet 560mm, Grijs J/F/B Beginmeter",374360
"18.15C_G Gondola 2200, voet 560mm, Grijs J/F/B Tussenmeter",376441
"18.15C_G Gondola 2200, voet 560mm, Grijs J/F/B Eindmeter",376442
"18.15D_G Gondola 2200, voet 660mm, Grijs J/F/B Beginmeter",443277
"18.15D_G Gondola 2200, voet 660mm, Grijs J/F/B Tussenmeter",443278
"18.15D_G Gondola 2200, voet 660mm, Grijs J/F/B Eindmeter",443279
"18.20A Aldipress Lectuur presentatie t.b.v. stelling 1500mm, voet 600mm",438702
"18.20B Aldipress Lectuur presentatie t.b.v. stelling 1900mm, voet 600 mm",438672
18.24 Medicijnpresentatie stelling FM,348907
"18.28 Borrelwand 400cm, op achterzijde wandstelling  J/F/B",447984
"18.28 Borrelwand 500cm, op achterzijde wandstelling J/F/B",437499
"18.28 Borrelwand 600cm, op achterzijde wandstelling J/F/B",434826
"18.28 Borrelwand 700cm, op achterzijde wandstelling J/F/B",441059
18.35B Hema-presentatie 460mm t.b.v. stellinghoogte 1900 J/F/B,389675
18.35C Hema-presentatie 560mm t.b.v. stellinghoogte 1900 J/F/B,386823
18.35D Hema-presentatie 660mm t.b.v. stellinghoogte 1900 J/F/B,384226
18.37B Hema-presentatie 460mm t.b.v. stellinghoogte 2200,402776
18.37C Hema-presentatie 560mm t.b.v. stellinghoogte 2200 J/F/B,410196
18.37D Hema-presentatie 660mm t.b.v. stellinghoogte 2200 J/F/B,410198
18.38 Lektuurpresentatie inhang hoog / wit/ t.b.v.  Foodmarkt F,386353
"18.41A_G5 Kopstelling 1500mm, voet 360mm, grijs gondola 560 J/F/B",370360
"18.41B_G5 Kopstelling 1500mm, voet 460mm, grijs gondola 560 J/F/B",450256
"18.41B_G6 Kopstelling 1500mm, voet 460mm, grijs gondola 660 J/F/B",441148
"18.41C_G5 Kopstelling 1500mm, voet 560mm, Grijs, Gondola 560 J/F/B",318084
18.41C_Z5 Kopstelling 1500 mm hoog /breed 1225 mm / voet 560 mm J/F/B,346178
18.41D_G6 Kopstelling 1500 mm hoog /breed 1425 mm / voet 660 mm J/F/B,416404
"18.42A_S5 Kopstelling 2300, voet 360mm, Geel, Gondola 560, Speciaal J/F/B",267231
"18.42A_S6 Kopstelling 2300mm hoog, ondiep, voet 360 C",267231
"18.42B_S4 Kopstelling 2300, voet 460mm, Geel, Gondola 460, Speciaal J/F/B",406761
"18.42B_S5 Kopstelling 2300, voet 460mm, Geel, Gondola 460, Speciaal J/B",286694
"18.42B_S6 kopstelling 2300mm hoog, ondiep, voet 460 C",243494
